time[s],brakingTime.y[s],checkReqAccel.rf[-],checkReqEmBrake.rf[-],checkReqSpeed.rf[-],desSpeed.y[rad/s],machine.om[rpm],opSpeedBand.y[-],runUpTime.y[s],statAnaRefVar[-],stopBand.y[-]
s,s,-,-,-,rad/s,rpm,-,s,-,-
0,0,-1,-1,-1,0,0,0,0,0,0
0,0,-1,-1,-1,0,0,0,0,0,0
0,0,-1,-1,-1,0,0,0,0,0,0
0.0012,0,-1,-1,-1,0,0,0,0,0,0
0.00855,0,-1,-1,-1,0,0,0,0,0,0
0.06,0,-1,-1,-1,0,0,0,0,0,0
0.21,0,-1,-1,-1,0,0,0,0,0,0
0.36,0,-1,-1,-1,0,0,0,0,0,0
0.51,0,-1,-1,-1,0,0,0,0,0,0
0.66,0,-1,-1,-1,0,0,0,0,0,0
0.751524468932,0,-1,-1,-1,4.69412904168617e-08,1.21465815625347e-07,0,0,0,0
0.789024468932,0,-1,-1,-1,3.62227166811286e-05,3.10557220753545e-05,0,0,0,0
0.797098667112,0,-1,-1,-1,5.48597850395681e-05,4.03514804386633e-05,0,0,0,0
0.801927691396,0,-1,-1,-1,6.83100806670797e-05,4.77474378580843e-05,0,0,0,0
0.801927691396,0,-1,-1,-1,6.83100806670797e-05,4.77474378580843e-05,0,0,0,0
0.801927691396,0,-1,-1,-1,6.83100806670797e-05,4.77474378580843e-05,0,0,0,0
0.803081148279,0,-1,-1,-1,7.17961351906613e-05,4.94814713026229e-05,0,0,0,0
0.81115534646,0,-1,-1,-1,9.93690551382453e-05,6.35394681432062e-05,0,0,0,0
0.83117071421,0,-1,-1,-1,0.00019578309850576,0.000154254764430808,0,0,0,0
0.85118608196,0,-1,-1,-1,0.000345093480325805,0.000316215919936495,0,0,0,0
0.87120144971,0,-1,-1,-1,0.00057190169900502,0.000585238423435568,0,0,0,0
0.892488854076,0,-1,-1,-1,0.000946509402697176,0.000990526752927779,0,0,0,0
0.91245390059,0,-1,-1,-1,0.00150981634639099,0.00158329208356682,0,0,0,0
0.932418947104,0,-1,-1,-1,0.00246273734573977,0.0025362869229644,0,0,0,0
0.952383993618,0,-1,-1,-1,0.00428848811198278,0.00414937622812169,0,0,0,0
0.963415329385,0,-1,-1,-1,0.00618070795411576,0.00546912424371283,0,0,0,0
0.974446665152,0,-1,-1,-1,0.00968876615723636,0.00740168113143649,0,0,0,0
0.980276265541,0,-1,-1,-1,0.0130469247498532,0.00877436133352561,0,0,0,0
0.98610586593,0,-1,-1,-1,0.0189080757848588,0.0105829840896111,0,0,0,0
0.989338401594,0,-1,-1,-1,0.0244117182197819,0.0118367804749586,0,0,0,0
0.992570937258,0,-1,-1,-1,0.033241516050075,0.0133722651098909,0,0,0,0
0.995304629191,0,-1,-1,-1,0.0455945394967546,0.0149786179276802,0,0,0,0
0.996959017553,0,-1,-1,-1,0.0567299169243453,0.0161279458797018,0,0,0,0
0.998613405915,0,-1,-1,-1,0.0718279776699041,0.0174630130806605,0,0,0,0
1.000102355441,0,-1,-1,-1,0.089528355112102,0.0188659988976558,0,0,0,0
1.001442410014,0,-1,-1,-1,0.109005817926365,0.0203346418276979,0,0,0,0
1.002782464587,0,-1,-1,-1,0.131646784700319,0.0220493761119077,0,0,0,0
1.00412251916,0,-1,-1,-1,0.156993671738265,0.0240686744715002,0,0,0,0
1.005462573733,0,-1,-1,-1,0.184499195319316,0.0264613056768229,0,0,0,0
1.007137641949,0,-1,-1,-1,0.221153870503634,0.030079804267103,0,0,0,0
1.008812710165,0,-1,-1,-1,0.259619969985774,0.0345623626279661,0,0,0,0
1.010487778381,0,-1,-1,-1,0.299352274699574,0.0401059994533964,0,0,0,0
1.012162846597,0,-1,-1,-1,0.339982123025978,0.0469197009696664,0,0,0,0
1.013837914813,0,-1,-1,-1,0.381261136261701,0.0552179724861144,0,0,0,0
1.015931750083,0,-1,-1,-1,0.433520005921862,0.0680032366917481,0,0,0,0
1.018025585353,0,-1,-1,-1,0.486310282703603,0.0838430568921495,0,0,0,0
1.02064287944,0,-1,-1,-1,0.552829015322806,0.108482960698297,0,0,0,0
1.023260173527,0,-1,-1,-1,0.619769865082109,0.13903644530504,0,0,0,0
1.025877467614,0,-1,-1,-1,0.687014875395664,0.175905694628543,0,0,0,0
1.028494761701,0,-1,-1,-1,0.754485674497687,0.219288337302667,0,0,0,0
1.03176637931,0,-1,-1,-1,0.839061167553304,0.282643115853341,0,0,0,0
1.035855901321,0,-1,-1,-1,0.945052173183681,0.375426678659913,0,0,0,0
1.039536471131,0,-1,-1,-1,1.04063258991224,0.470560932844022,0,0,0,0
1.04059638,0,-1,-1,-1,1.06818341796387,0.499758788436871,0,0,0,0
1.040605025278,0,-1,-1,-1,1.06840818231271,0.500000000961866,0,0,0,0
1.040605025278,0,-1,-1,-1,1.06840818231271,0.500000000961866,0,0,0,0
1.040605025278,0,-1,-1,-1,1.06840818231271,0.500000000961866,0,0,0,0
1.040605025278,0,-1,-1,-1,1.06840818231271,0.500000000961866,0,0,0,0
1.040605025278,0,-1,-1,-1,1.06840818231271,0.500000000961866,0,0,0,0
1.040605025278,0,-1,-1,-1,1.06840818231271,0.500000000961866,0,0,0,0
1.041703609312,0,-1,-1,-1,1.09697505722304,0.531157562404974,0,0.001098584034,0,0
1.043290283857,0,-1,-1,-1,1.13825145157254,0.577340094357959,0,0.002685258579,0,0
1.044595855265,0,-1,-1,-1,1.1722292925535,0.616390607739994,0,0.003990829987,0,0
